stop_id,stop_name,stop_lat,stop_lon,stop_address,stop_url,level_id,location_type,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood
place-alfcl,Alewife,42.39583,-71.141287,"Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140",https://www.mbta.com/stops/place-alfcl,,1,1,Cambridge,,,,,,,,,,,
place-alsgr,Allston Street,42.348701,-71.137955,"Allston St and Commonwealth Ave, Boston, MA 02134",https://www.mbta.com/stops/place-alsgr,,1,2,Boston,,,,,,,,,,,
place-amory,Amory Street,42.350992,-71.114748,"Commonwealth Ave and Amory St, Boston, MA 02215",https://www.mbta.com/stops/place-amory,,1,1,Boston,,,,,,,,,,,
place-andrw,Andrew,42.330154,-71.057655,"Dorchester Ave and Southhampton St, South Boston, MA 02127",https://www.mbta.com/stops/place-andrw,,1,1,Boston,,,,,,,,,,,
place-aport,Airport,42.374262,-71.030395,"Transportation Way and Service Rd, Boston, MA 02128",https://www.mbta.com/stops/place-aport,,1,1,Boston,,,,,,,,,,,
place-aqucl,Aquarium,42.359784,-71.051652,"Atlantic Ave and State St, Boston, MA 02120",https://www.mbta.com/stops/place-aqucl,,1,1,Boston,,,,,,,,,,,
place-armnl,Arlington,42.351902,-71.070893,"Arlington St and Boylston St, Boston, MA 02116",https://www.mbta.com/stops/place-armnl,,1,1,Boston,,,,,,,,,,,
place-asmnl,Ashmont,42.28452,-71.063777,"Dorchester Ave and Ashmont St, Boston, MA 02124",https://www.mbta.com/stops/place-asmnl,,1,1,Boston,,,,,,,,,,,
place-astao,Assembly,42.392811,-71.077257,"499 Foley St, Somerville, MA 02145",https://www.mbta.com/stops/place-astao,,1,1,Somerville,,,,,,,,,,,
place-babck,Babcock Street,42.351616,-71.119924,"Commonwealth Ave and Babcock St, Boston, MA 02215",https://www.mbta.com/stops/place-babck,,1,1,Boston,,,,,,,,,,,
place-balsq,Ball Square,42.399889,-71.111003,"646 Boston Ave, Somerville, MA 02144",https://www.mbta.com/stops/place-balsq,,1,1,Medford,,,,,,,,,,,
place-bbsta,Back Bay,42.34735,-71.075727,"145 Dartmouth St Boston, MA 02116",https://www.mbta.com/stops/place-bbsta,,1,1,Boston,,,,,,,,,,,
place-bckhl,Back of the Hill,42.330139,-71.111313,"100 South Huntington Ave, Boston, MA 02130",https://www.mbta.com/stops/place-bckhl,,1,2,Boston,,,,,,,,,,,
place-bcnfd,Beaconsfield,42.335765,-71.140455,"124 Beaconsfield Rd, Brookline, MA 02445",https://www.mbta.com/stops/place-bcnfd,,1,2,Brookline,,,,,,,,,,,
place-bcnwa,Washington Square,42.339394,-71.13533,"Beacon St and Washington St, Brookline, MA",https://www.mbta.com/stops/place-bcnwa,,1,1,Brookline,,,,,,,,,,,
place-bland,Blandford Street,42.349293,-71.100258,"Commonwealth Ave and Blandford Mall, Boston, MA 02215",https://www.mbta.com/stops/place-bland,,1,2,Boston,,,,,,,,,,,
place-bmmnl,Beachmont,42.397542,-70.992319,"630 Winthrop Ave, Revere, MA 02151",https://www.mbta.com/stops/place-bmmnl,,1,1,Revere,,,,,,,,,,,
place-bndhl,Brandon Hall,42.340023,-71.129082,"1481 Beacon St, Brookline, MA",https://www.mbta.com/stops/place-bndhl,,1,2,Brookline,,,,,,,,,,,
place-bomnl,Bowdoin,42.361365,-71.062037,"Cambridge St and New Chardon St, Boston, MA 02114",https://www.mbta.com/stops/place-bomnl,,1,2,Boston,,,,,,,,,,,
place-boyls,Boylston,42.35302,-71.06459,"Boylston St and Tremont St, Boston, MA",https://www.mbta.com/stops/place-boyls,,1,2,Boston,,,,,,,,,,,
place-brdwy,Broadway,42.342622,-71.056967,"Dorchester Ave and Broadway, Boston, MA",https://www.mbta.com/stops/place-brdwy,,1,1,Boston,,,,,,,,,,,
place-brico,Packard's Corner,42.351967,-71.125031,"Commonwealth Ave and Brighton Ave, Boston, MA 02215",https://www.mbta.com/stops/place-brico,,1,2,Boston,,,,,,,,,,,
place-brkhl,Brookline Hills,42.331316,-71.126683,"Tappan St and Cypress St, Brookline, MA 02445",https://www.mbta.com/stops/place-brkhl,,1,1,Brookline,,,,,,,,,,,
place-brmnl,Brigham Circle,42.334229,-71.104609,"Huntington Ave and Francis St, Boston, MA",https://www.mbta.com/stops/place-brmnl,,1,1,Boston,,,,,,,,,,,
place-brntn,Braintree,42.207854,-71.001138,"197 Ivory St, Braintree, MA 02184",https://www.mbta.com/stops/place-brntn,,1,1,Braintree,,,,,,,,,,,
place-bucen,Boston University Central,42.350082,-71.106865,"Commonwealth Ave and Marsh Chapel, Boston, MA 02215",https://www.mbta.com/stops/place-bucen,,1,1,Boston,,,,,,,,,,,
place-buest,Boston University East,42.349735,-71.103889,"Commonwealth Ave and Granby St, Boston, MA 02215",https://www.mbta.com/stops/place-buest,,1,1,Boston,,,,,,,,,,,
place-butlr,Butler,42.272429,-71.062519,"Butler St and Branchfield St, Dorchester, MA 02124",https://www.mbta.com/stops/place-butlr,,1,1,Boston,,,,,,,,,,,
place-bvmnl,Brookline Village,42.332608,-71.116857,"31 Station St, Brookline, MA 02445",https://www.mbta.com/stops/place-bvmnl,,1,1,Brookline,,,,,,,,,,,
place-capst,Capen Street,42.267563,-71.087338,"50 Capen St, Milton, MA 02186",https://www.mbta.com/stops/place-capst,,1,1,Milton,,,,,,,,,,,
place-ccmnl,Community College,42.373622,-71.069533,"Austin St and Rutherford Ave, Charlestown, MA",https://www.mbta.com/stops/place-ccmnl,,1,1,Boston,,,,,,,,,,,
place-cedgr,Cedar Grove,42.279629,-71.060394,"Fellsway St and Milton St, Dorchester, MA 02124",https://www.mbta.com/stops/place-cedgr,,1,1,Boston,,,,,,,,,,,
place-cenav,Central Avenue,42.270027,-71.073444,"23 Central Ave, Milton, MA 02186",https://www.mbta.com/stops/place-cenav,,1,1,Milton,,,,,,,,,,,
place-chhil,Chestnut Hill,42.326753,-71.164699,"Hammond St and Chestnut Hill Rd, Newton, MA 02467",https://www.mbta.com/stops/place-chhil,,1,2,Newton,,,,,,,,,,,
place-chill,Chestnut Hill Avenue,42.338169,-71.15316,"Commonwealth Ave and Chestnut Hill Ave, Boston, MA",https://www.mbta.com/stops/place-chill,,1,2,Boston,,,,,,,,,,,
place-chmnl,Charles/MGH,42.361166,-71.070628,"Cambridge St and Charles St, Boston, MA",https://www.mbta.com/stops/place-chmnl,,1,1,Boston,,,,,,,,,,,
place-chncl,Chinatown,42.352547,-71.062752,"Washington St and Boylston St, Boston, MA",https://www.mbta.com/stops/place-chncl,,1,1,Boston,,,,,,,,,,,
place-chswk,Chiswick Road,42.340805,-71.150711,"Commonwealth Ave and Chiswick Rd, Boston, MA",https://www.mbta.com/stops/place-chswk,,1,2,Boston,,,,,,,,,,,
place-clmnl,Cleveland Circle,42.336142,-71.149326,"Beacon St and Chestnut Hill Ave, Brighton, MA",https://www.mbta.com/stops/place-clmnl,,1,1,Boston,,,,,,,,,,,
place-cntsq,Central,42.365486,-71.103802,"Massachusetts Ave and Prospect St, Cambridge, MA 02139",https://www.mbta.com/stops/place-cntsq,,1,1,Cambridge,,,,,,,,,,,
place-coecl,Copley,42.349974,-71.077447,"Boylston St and Dartmouth St, Boston, MA",https://www.mbta.com/stops/place-coecl,,1,1,Boston,,,,,,,,,,,
place-conrd,Silver Line Way,42.347154,-71.038385,nan,https://www.mbta.com/stops/place-conrd,,1,1,Boston,,,,,,,,,,,
place-cool,Coolidge Corner,42.342116,-71.121263,"Beacon St and Harvard St, Brookline, MA",https://www.mbta.com/stops/place-cool,,1,1,Brookline,,,,,,,,,,,
place-davis,Davis,42.39674,-71.121815,"College Ave and Elm St, Somerville, MA",https://www.mbta.com/stops/place-davis,,1,1,Somerville,,,,,,,,,,,
place-denrd,Dean Road,42.337807,-71.141853,"Beacon St and Dean Rd, Brookline, MA",https://www.mbta.com/stops/place-denrd,,1,2,Brookline,,,,,,,,,,,
place-dwnxg,Downtown Crossing,42.355518,-71.060225,"Washington St and Summer St, Boston, MA",https://www.mbta.com/stops/place-dwnxg,,1,1,Boston,,,,,,,,,,,
